,【ベタ問】,
1,「なぜ山に登るのか？」と聞かれ、「そこに山があるから」と答えたことで知られる、イギリスの登山家は誰でしょう？,ジョージ・マロリー
2,フランス語で「稲妻」という意味がある、細長いシュークリームにチョコレートをかけた洋菓子は何でしょう？,エクレア
3,「おい地獄さ行（え）ぐんだで！」という書き出しで始まる、小林多喜二のプロレタリア文学は何でしょう？,『蟹工船』
4,本名をチャールズ・ラトウィッジ・ドジソンという、代表作に『鏡の国のアリス』『不思議の国のアリス』などがある小説家は誰でしょう？,ルイス・キャロル
5,本名を平井太郎という、代表作に『二銭銅貨』『D坂の殺人事件』がある小説家は誰でしょう？,江戸川乱歩
6,その超絶的な技巧から「ピアノの魔術師」とよばれた、代表曲に『超絶技巧練習曲』『ハンガリー狂詩曲』などがある作曲家は誰でしょう？,フランツ・リスト
7,世界の山で、南極大陸の最高峰はビンソンマシフですが、北極圏の最高峰は何でしょう？,ギュンビョルン
8,1898年、アフリカ縦断政策をとるイギリスとアフリカ横断政策をとるフランスが衝突した事件を、それが起こったスーダンの地名から何というでしょう？,ファショダ事件
9,そのペンネームは父親に「くたばってしまえ」と言われたことに由来する、代表作に言文一致体で書かれた『浮雲』などがある小説家は誰でしょう？,二葉亭四迷（ふたばていしめい）
10,飛行士として働いていた経験もある、代表作に『夜間飛行』や『星の王子さま』があるフランスの小説家は誰でしょう？,サン＝テグジュペリ
11,六歌仙で唯一、小倉百人一首に歌が選ばれていないのは誰でしょう？,大友黒主（おおとものくろぬし）
12,三角形の3辺の長さからその面積を求める公式を、これを考案した古代ギリシャの数学者の名前から何というでしょう？,ヘロンの公式
13,6、28、496などがこれにあたる、自身を除いた約数の総和がその数自身になる数のことを特に何というでしょう？,完全数
14,「雪は天から送られた手紙」という言葉を残した、人工雪の製作に世界で初めて成功したことで知られる日本の物理学者は誰でしょう？,中谷宇吉郎
15,2人で話すことを対談といいますが、3人で話すことを何というでしょう？,鼎談（ていだん）
16,リヒテンシュタインとウズベキスタンがこれに当たる、内陸国に囲まれた国を何というでしょう？,二重内陸国
17,マフラーやショールなどについている、毛糸やひもを束ねた房飾りのことを何というでしょう？,フリンジ
18,副題を「二幕からなる喜悲劇」という、木が1本生えている田舎道でウラジミールとエストラゴンがある人物を待ち続けるという内容の、サミュエル・ベケットの戯曲は何でしょう？,『ゴドーを待ちながら』
19,ガットスン・ボーグラムが彫った4人の大統領の胸像があることで知られる、アメリカのサウスダコタ州にある山は何でしょう？,ラシュモア山
20,目覚まし時計において、一旦アラームを止めてもしばらくすると再び鳴り出す機能を、「居眠り」という意味の英語で何というでしょう？,スヌーズ
21,火星が持つ2つの衛星とは、何と何でしょう？,フォボスとダイモス
22,「HR図」とも略される、縦軸に絶対等級、横軸にスペクトル型をとって恒星を分類した図のことを何というでしょう？,ヘルツシュプルング・ラッセル図
23,コンセントとプラグの間にホコリがたまり、それが湿気を帯びることで発火する現象を何というでしょう？,トラッキング現象
24,発見したクロアチアの地震学者の名前がつけられた、地殻とマントルの間に位置する境界面を何というでしょう？,モホロビチッチ不連続面
25,現在のフィウミチーノ川にあたるとされる、カエサルが「賽は投げられた」といってこの川を渡ったことで知られるイタリアの川は何でしょう？,ルビコン川
26,本名をレオナルド・ダ・ピサという、1、1、2、3、５と続く「数列」に名を残す数学者は誰でしょう？,レオナルド・フィボナッチ
27,ダンテの『神曲』に対して『人曲(じんきょく)』と称される、ペストから逃れた男女が10日間に渡り一人ずつ話をしていくという、ジョバンニ・ボッカッチョの小説は何でしょう？,『デカメロン』
28,そのCDの売り上げはオリコン歴代1位である、子門真人(しもん・まさと)の童謡は何でしょう？,『およげ！たいやきくん』
29,「ガリレオ衛星」と呼ばれる木星の4つの衛星とは、イオ、エウロパ、ガニメデと何でしょう？,カリスト
30,耳が聞こえなくなっていく悲しみや苦悩が綴られている、ベートーベンが甥のカールと弟のヨハンにあてて書いた遺書のことを何というでしょう？,ハイリゲンシュタットの遺書
31,南アメリカ大陸にある国の中で、唯一英語を公用語にしている国はガイアナですが、唯一オランダ語を公用語にしている国はどこでしょう？,スリナム
32,その中で初めてエルキュー ル・ポアロが登場した、1920年に発表されたアガサ・クリスティのデビュー作は何でしょう？,『スタイルズ荘の怪事件』
33,茶道の三千家といえば、表千家、裏千家と何でしょう？,武者小路千家
34,提唱したエリザベス1世の財務顧問の名前がつけられた、「悪貨は良貨を駆逐する」という法則は何でしょう？,グレシャムの法則
35,世界で最も狭い海峡は土渕(どふち)海峡ですが、世界で最も広い海峡はどこでしょう？,ドレーク海峡
36,囲碁や将棋などで、終局後に対局を再現し、手の善悪などを振り返ることを何というでしょう？,感想戦
37,もともとはクリケットの用語であった、サッカーで1試合中に3得点以上入れることを何というでしょう？,ハットトリック
38,「先生と私」「両親と私」「先生と遺書」の3部からなる、夏目漱石の小説は何でしょう？,『こころ』
39,その作品はドイチュ番号で整理される、代表作に『美しき水車小屋の娘』や『魔王』などがあるオーストリアの作曲家は誰でしょう？,フランツ・シューベルト
40,白金を触媒とし、アンモニアを酸化させることにより硝酸を製造する方法を、考案したドイツの化学者の名から何というでしょう？,オストワルト法
41,食べ物やろうそくなどのように、演劇の小道具の中でも１回しか使えないものを何というでしょう？,消え物
42,「あさぼらけ」「きみがため」「わたのはら」の3組がこれにあたる、競技かるたにおいて決まり字が6文字であるものを何というでしょう？,大山札
43,中にジャムやソースが入っており、中央を折ることで中身を絞り出すことができる包装容器のことを何というでしょう？,ディスペンパック
44,発見者の名前から「ローゼンタール効果」とも呼ばれる、教師に期待されると成績が上がる効果を、「ゴーレム効果」に対して何というでしょう？,ピグマリオン効果
45,「医者は探りを入れた後で、手術台の上から津田を下した。」という書き出しで始まる、夏目漱石の遺作となった小説は何でしょう？,『明暗』
46,フランス語で「新しい橋」という意味がある、パリのセーヌ川に架かる、パリに現存する最古の橋は何でしょう？,ポン・ヌフ
47,ラテン語で「第六の時」という意味がある、スペインなどで昼食後に取られる昼寝を何というでしょう？,シエスタ
48,六歌仙で唯一の女性であり、小倉百人一首の第9首「花の色は移りにけりないたづらにわが身世にふるながめせしまに」の作者としても有名な平安時代の女流歌人は誰でしょう？,小野小町
49,「世界三大生ハム」といえば、中国の金華ハム、イタリアのプロシュートとスペインの何でしょう？,ハモン・セラーノ
50,ドイツの小学校教師リヒャルト・シルマンが考案した、青少年が安全で経済的に旅行をするための宿泊施設は何でしょう？,ユースホステル
51,この日に家を建てると火災が起きて隣3軒まで焼き尽くすという、凶日の一つは何でしょう？,三隣亡
52,胃の、入り口のことを噴門といいますが、出口のことを何というでしょう？,幽門
53,日本に生息する２種類のヤマネコとは、イリオモテヤマネコと何でしょう？,ツシマヤマネコ
54,「科学に国境はないが、科学者には祖国がある。」という名言も有名な、自然発生説の完全否定に成功したフランスの科学者は誰でしょう？,ルイ・パスツール
55,ピーマンでは0、ハバネロでは10万〜35万程度である、トウガラシなどの辛さの単位は何でしょう？,スコヴィル値
56,チェスのゲームで一度だけ行うことができる、キングとルークを同時に動かす特殊な手は何でしょう？,キャスリング
57,狂言の修行の過程を表す「猿に始まり狐に終わる」という言葉で、猿は『靭猿（うつぼざる）』を表しますが、狐は何を表すでしょう？,『釣狐』
58,日本語では「座金」という、ボルトとナットの間に入れられるドーナツ状の金属の部品は何でしょう？,ワッシャー
59,禁止されていたのは目潰しと噛みつきのみであったとされる、古代ギリシャのオリンピックで行われていた格闘技は何でしょう？,パンクラチオン
60,「役人の数は、仕事量に関わりなく一定の割合で増加する」という法則のことを、提唱したイギリスの政治学者の名から何というでしょう？,パーキンソンの法則
61,摂氏温度×0.8で算出される、「列氏温度」とも呼ばれる温度の単位は何でしょう？,レオミュール度
62,「デマを流す」などという時の「デマ」とは何という言葉の略でしょう？,デマゴギー
63,マーチングバンドにおいて、行進の先頭を歩き、バトンを上下させて曲のリズムを示す指揮者を何というでしょう？,ドラムメジャー
64,ボクシングのリングにおいて、赤コーナーでも青コーナーでもないコーナーを何というでしょう？,ニュートラルコーナー
65,日本国憲法第25条で保障されている、健康で文化的な最低限度の生活を営む権利のことを何というでしょう？,生存権
66,チェスの初期配置では四隅に置かれている、将棋の飛車と同じ動きをするチェスの駒は何でしょう？,ルーク
